Influencer Name,User ID,Platform,Country,Hashtags,Influencer Profile,Followers,Total Videos,Recent 30 Videos' Views,Recent 30 Videos' Likes,Recent 30 Videos' Comments,Titles of Last 10 Videos,Profile of the Last 10 Videos
ParentingPro_03,user_1203,TikTok,United Kingdom,"#EarlyParenting, #BabyJourney, #ParentingWins, #ChildRearing, #FamilyMoments",Sharing the joys and challenges of early parenting.,160k,275,2.9m,81k,3.9k,"Handling Toddler Tantrums, Baby Sign Language, First Foods for Babies, New Parent Support Groups, Nursery Room Ideas, Diaper Changing Tricks, Child Vaccination Schedule, Reading to Infants, Outdoor Safety for Kids, Parent-Child Bonding Activities","Practical tips on managing toddler tantrums, teaching baby sign language, introducing solid foods, finding support as a new parent, creative nursery room decoration, diaper changing techniques, vaccination guide for children, benefits of reading to infants, ensuring safety during outdoor activities, ideas for bonding with your child."
BabyCareGuru_04,user_1204,YouTube,Canada,"#InfantCare, #Motherhood, #BabyHealth, #NewbornTips, #ParentingGuide",Expert advice on newborn care and maternal health.,140k,260,2.6m,75k,3.5k,"Breastfeeding Essentials, Soothing a Crying Baby, Postpartum Fitness, Baby's Sleep Schedule, Newborn Bathing Safety, Choosing the Right Formula, Developmental Milestones, Creating a Baby-friendly Home, Mother-Baby Bonding, Handling Common Illnesses","Guidance on breastfeeding, techniques to soothe crying infants, postpartum fitness advice, establishing a sleep routine for babies, safe bathing practices, choosing baby formula, understanding developmental milestones, tips for baby-proofing your home, nurturing mother-baby relationships, managing common infant illnesses."
NewMomDiaries_05,user_1205,TikTok,Australia,"#NewMomLife, #BabyCareTips, #PostpartumJourney, #FirstYearMoments, #BabySmiles",A new mom's diary sharing day-to-day experiences and learnings.,150k,290,2.7m,80k,4.0k,"First Time Parenting, Baby Nutrition Guide, Choosing Baby Apparel, Infant Toy Selection, Baby's First Foods, Celebrating Baby Milestones, Mom's Self Care, Home Safety for Toddlers, Balancing Work and Parenting, Fun with Baby Activities","Personal experiences as a first-time parent, advice on baby nutrition, selecting appropriate baby clothes, choosing safe toys for infants, introducing solid foods, celebrating key milestones in baby's first year, tips for mom's self-care, ensuring home safety for active toddlers, balancing professional life with parenting, engaging and fun activities to do with your baby."
FitChampion_101,user_2101,YouTube,United States,"#WorkoutGoals, #OutdoorAdventures, #FitnessJunkie, #HealthyLiving, #SportsMania",Bringing you the best in fitness training and outdoor sports.,200k,350,3.5m,110k,5k,"Marathon Training Tips, CrossFit Workouts, Yoga for Athletes, Mountain Biking Trails, Swimming Techniques, Strength Training Basics, Rock Climbing Essentials, Triathlon Preparation, Home Gym Setup, Healthy Diet Plans","Expert advice on marathon training, CrossFit routines, integrating yoga into sports training, exploring mountain biking, mastering swimming strokes, foundational strength training, rock climbing for beginners, triathlon training strategies, setting up a home gym, crafting nutritious diet plans."
YogaSpirit_102,user_2102,TikTok,Canada,"#YogaLife, #FitnessMotivation, #MindBodySoul, #WellnessJourney, #OutdoorYoga",Inspiring a balanced life through yoga and wellness.,180k,300,3.0m,90k,4.5k,"Morning Yoga Routines, Meditation Techniques, Yoga for Stress Relief, Advanced Yoga Poses, Yoga Retreat Experiences, Pranayama Breathwork, Yoga for Beginners, Mindfulness Practices, Yoga in Nature, Yoga Diet Tips","Guided morning yoga sequences, various meditation methods, using yoga to manage stress, tutorials on advanced yoga poses, experiences from yoga retreats, teaching pranayama techniques, introductory yoga sessions, exercises in mindfulness, practicing yoga outdoors, dietary advice for yogis."
TrailExplorer_103,user_2103,YouTube,Australia,"#HikingAdventures, #TrailRunning, #OutdoorFitness, #NatureLover, #ExploreOutdoors",Your guide to exploring the great outdoors and staying fit.,220k,380,4.2m,120k,6k,"Best Hiking Trails, Trail Running Gear, Wilderness Survival Tips, Outdoor Camping Hacks, Fitness Tracking Apps, Eco-Friendly Outdoor Activities, Wildlife Safety, Nature Photography, Environmental Conservation, Off-Trail Explorations","Reviews of top hiking trails, recommendations for trail running equipment, tips for surviving in the wilderness, clever camping hacks, using fitness tracking apps, engaging in eco-friendly outdoor activities, ensuring safety around wildlife, capturing nature through photography, promoting environmental conservation, adventures in off-trail exploration."
EduMaster_201,user_3101,YouTube,United States,"#LearningIsFun, #StudyTips, #EducationalTech, #CareerDevelopment, #SkillBuilding",Empowering learners with innovative educational techniques and career advice.,190k,280,3.2m,100k,4.5k,"Effective Study Methods, E-Learning Tools, Time Management Skills, Professional Growth Strategies, Online Course Reviews, Creative Learning Techniques, Student Motivation, Language Learning Tips, Exam Preparation Guides, Resume Building","Guides on efficient study habits, reviews of e-learning platforms, developing time management skills, strategies for professional growth, evaluations of online courses, creative methods for enhancing learning, motivational tips for students, advice on learning new languages, comprehensive exam preparation, and resume writing skills."
SkillBuilder_202,user_3102,TikTok,United Kingdom,"#LearnEveryDay, #TrainingGuru, #EducationMatters, #SkillsForLife, #ContinuousLearning",Focusing on skill development and continuous learning for all ages.,160k,260,2.8m,85k,3.8k,"Soft Skills Training, Coding for Beginners, Career Coaching, Public Speaking Tips, Digital Literacy, Financial Literacy Basics, Personal Development Workshops, Leadership Skills, Online Learning Platforms, Creative Writing Techniques","Soft skill enhancement strategies, basics of coding, guidance for career progression, mastering public speaking, becoming digitally literate, understanding financial basics, workshops for personal growth, developing leadership qualities, navigating online learning platforms, and improving creative writing."
TheLearningCoach_203,user_3103,YouTube,Canada,"#EducationForAll, #LifelongLearning, #AcademicExcellence, #TrainingExperts, #KnowledgeSharing",Dedicated to promoting academic excellence and lifelong learning.,175k,300,3.0m,90k,4.2k,"Advanced Mathematics Tutorials, Science Experiments at Home, History Documentaries, Philosophy Discussions, Literature Analysis, Art History Lessons, Educational Psychology, World Geography Quizzes, Classroom Management Tips, Educational Policy Debates","In-depth mathematics tutorials, conducting science experiments, exploring historical events, philosophical discussions, analyses of classic literature, lessons on art history, insights into educational psychology, interactive geography quizzes, strategies for managing classrooms, and engaging in educational policy discussions."
PetWhisperer_301,user_4101,YouTube,Australia,"#PetLove, #AnimalCare, #HappyPets, #PetTraining, #FurryFriends",Dedicated to enriching the lives of pets and their owners.,210k,320,3.6m,105k,4.7k,"Dog Training Basics, Cat Nutrition Tips, Aquarium Maintenance, Bird Care Guide, Pet Grooming Techniques, Exotic Pets 101, Pet Behavior Analysis, Animal Rescue Stories, Pet-Friendly Home Ideas, Wildlife Conservation Efforts","Essential dog training tips, nutritional advice for cats, maintaining healthy aquariums, caring for pet birds, grooming techniques for pets, introductory guide to exotic pets, understanding pet behaviors, inspiring animal rescue tales, creating a pet-friendly living space, and promoting wildlife conservation."
